index,id,area_name,area_type,incorporation_year,county_incorporation,population_year,total_population,name_type

4787,1106,Westminster,M,1911,Adams,1890,0
4802,1107,Wheat Ridge,M,1969,Jefferson,1890,0
4817,1175,White Pine,M,1882,Gunnison,1890,143
4832,1108,Wiggins,M,1974,Morgan,1890,0
4847,1109,Wiley,M,1909,Prowers,1890,0
4862,1110,Williamsburg,M,1888,Fremont,1890,0
4877,1111,Windsor,M,1890,Weld,1890,173
4892,1112,Winter Park,M,1979,Grand,1890,0
4907,1113,Woodland Park,M,1891,El Paso,1890,0
4922,1114,Wray,M,1889,Washington,1890,125
4937,1115,Yampa,M,1907,Routt,1890,0
4952,1116,Yuma,M,1887,Washington,1890,241
5239,1178,Adams,C,,,1890,0
5254,1179,Alamosa,C,,,1890,0
5269,1180,Arapahoe,C,,,1890,132135
5284,1181,Archuleta,C,,,1890,826
5299,1182,Baca,C,,,1890,1479
5314,1183,Bent,C,,,1890,1313
5329,1184,Boulder,C,,,1890,14082
5344,1188,Broomfield,C,,,1890,0
5359,1185,Chaffee,C,,,1890,6612
5374,1017,Cheyenne,C,,,1890,534
5389,1018,Clear Creek,C,,,1890,7184
5404,1177,COLORADO,C,,,1890,412198
5419,1019,Conejos,C,,,1890,7193
5434,1020,Costilla,C,,,1890,3491
5449,1021,Crowley,C,,,1890,0
5464,1022,Custer,C,,,1890,2970
5479,1023,Delta,C,,,1890,2534
5494,1024,Denver,C,,,1890,0
5509,1025,Dolores,C,,,1890,1498
5524,1026,Douglas,C,,,1890,3006
5539,1027,Eagle,C,,,1890,3725
5554,1028,El Paso,C,,,1890,21239
5569,1029,Elbert,C,,,1890,1856
5584,1030,Fremont,C,,,1890,9156
5599,1031,Garfield,C,,,1890,4478
5614,1032,Gilpin,C,,,1890,5867
5629,1033,Grand,C,,,1890,604
5644,1034,Gunnison,C,,,1890,4359
5659,1035,Hinsdale,C,,,1890,862
5674,1036,Huerfano,C,,,1890,6882
5689,1037,Jackson,C,,,1890,0
5704,1038,Jefferson,C,,,1890,8450
5719,1039,Kiowa,C,,,1890,1243
5734,1040,Kit Carson,C,,,1890,2472
5749,1041,La Plata,C,,,1890,5509
5764,1042,Lake,C,,,1890,14663
5779,1043,Larimer,C,,,1890,9712
5794,1044,Las Animas,C,,,1890,17208
5809,1045,Lincoln,C,,,1890,689
5824,1046,Logan,C,,,1890,3070
5839,1047,Mesa,C,,,1890,4260
5854,1048,Mineral,C,,,1890,0
5869,1049,Moffat,C,,,1890,0
5884,1050,Montezuma,C,,,1890,1529
5899,1051,Montrose,C,,,1890,3980
5914,1052,Morgan,C,,,1890,1601
5929,1053,Otero,C,,,1890,4192
5944,1054,Ouray,C,,,1890,6510
5959,1055,Park,C,,,1890,3548
5974,1056,Phillips,C,,,1890,2642
5989,1057,Pitkin,C,,,1890,8929
6004,1058,Prowers,C,,,1890,1969
6019,1059,Pueblo,C,,,1890,31491
6034,1060,Rio Blanco,C,,,1890,1200
6049,1061,Rio Grande,C,,,1890,3451
6064,1062,Routt,C,,,1890,2369
6079,1063,Saguache,C,,,1890,3313
6094,1064,San Juan,C,,,1890,1572
6109,1065,San Miguel,C,,,1890,2909
6124,1066,Sedgwick,C,,,1890,1293
6139,1067,Summit,C,,,1890,1906
6154,1068,Teller,C,,,1890,0
6169,1069,Washington,C,,,1890,2301
6184,1070,Weld,C,,,1890,11736
6199,1071,Yuma,C,,,1890,2596
